Neighborhood,Veg area (km²),Mean no2 ppb,Area (km²)
Bayside - Little Neck,7.37,14.8,13.4
Bedford Stuyvesant - Crown Heights,3.625,16.2,14.5
Bensonhurst - Bay Ridge,5.04,14.4,18
Borough Park,1.56,15,6.5
Canarsie - Flatlands,6.314,13.4,15.4
Central Harlem - Morningside Heights,2.378,16.9,8.2
Chelsea - Clinton,0.495,22.9,4.5
Coney Island - Sheepshead Bay,5.52,13.1,24
Crotona - Tremont,2.272,17.2,7.1
Downtown - Heights - Slope,2.42,18,11
East Flatbush - Flatbush,4.35,15,14.5
East Harlem,1.209,16.7,3.9
East New York,2.146,15.6,7.4
Flushing - Clearview,4.218,15.2,11.1
Fordham - Bronx Park,3.04,15.3,7.6
Fresh Meadows,2.76,14.8,6
Gramercy Park - Murray Hill,0.585,22.9,4.5
Greenpoint,0.616,18.4,4.4
Greenwich Village - SoHo,0.78,20.5,6
High Bridge - Morrisania,0.903,17.2,4.3
Hunts Point - Mott Haven,0.954,17.4,5.3
Jamaica,2.03,14.9,5.8
Kingsbridge - Riverdale,4.662,14.5,7.4
Long Island City - Astoria,1.692,17.4,9.4
Lower Manhattan,1.272,20.8,5.3
Northeast Bronx,3.816,15.4,10.6
Pelham - Throgs Neck,4.232,15.8,9.2
Port Richmond,2.255,13.5,5.5
Ridgewood - Forest Hills,3.78,15.2,8.4
Rockaways,21.275,11.4,57.5
South Beach - Tottenville,7.67,9.5,13
Southeast Queens,14.52,14.1,33
Southwest Queens,10.15,14.3,35
Stapleton - St. George,4.794,13.1,9.4
Sunset Park,2.668,17.3,9.2
Union Square - Lower East Side,1.175,18,4.7
Upper East Side,1.672,18.8,7.6
Upper West Side,1.914,18.2,6.6
Washington Heights,2.485,16.9,7.1
West Queens,7.68,16.9,32
Williamsburg - Bushwick,2.646,17.4,14.7
Willowbrook,6.71,11.9,11
Jongno-gu,11.435,33.0,23.91
Jung-gu,3.206,34.9,9.96
Yongsan-gu,1.774,38.4,21.87
Seongdong-gu,3.084,30.3,16.82
Gwangjin-gu,3.46,31.1,17.06
Dongdaemun-gu,1.215,35.5,14.22
Jungnang-gu,5.229,25.0,18.5
Seongbuk-gu,8.527,42.1,24.58
Gangbuk-gu,14.495,19.8,23.6
Dobong-gu,10.151,25.2,20.65
Nowon-gu,14.742,28.8,35.44
Eunpyeong-gu,14.4,24.7,29.71
Seodaemun-gu,5.106,25.7,17.63
Mapo-gu,4.569,35.1,23.85
Yangcheon-gu,3.05,40.9,17.41
Gangseo-gu,4.518,33.7,41.45
Guro-gu,3.713,26.8,20.12
Geumcheon-gu,2.774,38.3,13.02
Yeongdeungpo-gu,3.003,37.4,24.55
Dongjak-gu,4.368,37.6,16.36
Gwanak-gu,12.485,37.6,29.57
Seocho-gu,15.072,33.8,46.97
Gangnam-gu,7.794,33.4,39.5
Songpa-gu,4.777,35.0,33.88
Gangdong-gu,3.406,30.7,24.59