Comparateur de territoires,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
© Insee,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Population,Département : Paris (75),Commune : Paris 1er Arrondissement (75101),Commune : Paris 2e Arrondissement (75102),Commune : Paris 3e Arrondissement (75103),Commune : Paris 4e Arrondissement (75104),Commune : Paris 5e Arrondissement (75105),Commune : Paris 6e Arrondissement (75106),Commune : Paris 7e Arrondissement (75107),Commune : Paris 8e Arrondissement (75108),Commune : Paris 9e Arrondissement (75109),Commune : Paris 10e Arrondissement (75110),Commune : Paris 11e Arrondissement (75111),Commune : Paris 12e Arrondissement (75112),Commune : Paris 13e Arrondissement (75113),Commune : Paris 14e Arrondissement (75114),Commune : Paris 15e Arrondissement (75115),Commune : Paris 16e Arrondissement (75116),Commune : Paris 17e Arrondissement (75117),Commune : Paris 18e Arrondissement (75118),Commune : Paris 19e Arrondissement (75119),Commune : Paris 20e Arrondissement (75120)
Population en 2021,2133111,15919,21119,32793,28324,56841,40209,47947,35123,58951,83543,142583,140954,178350,136368,227746,162061,164413,188446,181616,189805
Densité de la population (nombre d'habitants au km²) en 2021,"20238,2","8698,9","21332,3","28028,2","17702,5","22378,3","18701,9",11723,"9052,3","27041,7","28907,6",38851,"8636,9","24944,1","24178,7","26856,8","9899,9",28997,"31355,4","26747,6",31740
"Superficie en 2021, en km²","105,4","1,8",1,"1,2","1,6","2,5","2,2","4,1","3,9","2,2","2,9","3,7","16,3","7,2","5,6","8,5","16,4","5,7",6,"6,8",6
"Variation de la population : taux annuel moyen entre 2015 et 2021, en %","-0,6","-0,6","0,3","-1,1","0,7","-0,7","-0,9",-2,"-0,7","-0,1","-1,6","-0,8","-0,2","-0,4","-0,4","-0,5","-0,3","-0,4","-0,8","-0,4","-0,5"
"dont variation due au solde naturel : taux annuel moyen entre 2015 et 2021, en %","0,6","0,4","0,9","0,7","0,4","0,1",0,"0,1","0,6","0,9","1,1","0,7","0,5","0,3","0,4","0,6","0,2","0,8",1,"0,9","0,7"
"dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2015 et 2021, en %","-1,2","-1,1","-0,6","-1,8","0,3","-0,9","-0,9","-2,1","-1,3",-1,"-2,6","-1,5","-0,7","-0,8","-0,8","-1,1","-0,5","-1,2","-1,7","-1,2","-1,2"
Nombre de ménages en 2021,1128251,9500,12372,19453,16029,31616,22309,25962,17426,31893,44440,82860,74121,92287,69082,123064,81384,86645,102449,87311,98047
"Sources : Insee, RP2015 et RP2021 exploitations principales en géographie au 01/01/2024",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Naissances domiciliées en 2022,23785,160,211,290,232,393,276,412,332,628,1330,1586,1568,1704,1336,2485,1453,2330,2614,2419,2026
Décès domiciliés en 2022,14753,117,78,154,181,403,345,447,228,303,431,872,1024,1370,1063,1660,1289,1070,1185,1189,1344
"Avertissement : Contrairement aux autres données de cette page, le niveau France contient les données de Mayotte.",,,,,,,,,,,,,,,,,,,,,
"Source : Insee, état civil en géographie au 01/01/2023",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Logement,Département : Paris (75),Commune : Paris 1er Arrondissement (75101),Commune : Paris 2e Arrondissement (75102),Commune : Paris 3e Arrondissement (75103),Commune : Paris 4e Arrondissement (75104),Commune : Paris 5e Arrondissement (75105),Commune : Paris 6e Arrondissement (75106),Commune : Paris 7e Arrondissement (75107),Commune : Paris 8e Arrondissement (75108),Commune : Paris 9e Arrondissement (75109),Commune : Paris 10e Arrondissement (75110),Commune : Paris 11e Arrondissement (75111),Commune : Paris 12e Arrondissement (75112),Commune : Paris 13e Arrondissement (75113),Commune : Paris 14e Arrondissement (75114),Commune : Paris 15e Arrondissement (75115),Commune : Paris 16e Arrondissement (75116),Commune : Paris 17e Arrondissement (75117),Commune : Paris 18e Arrondissement (75118),Commune : Paris 19e Arrondissement (75119),Commune : Paris 20e Arrondissement (75120)
Nombre total de logements en 2021,1396753,13891,17345,26325,22923,39903,31682,39397,27402,40905,59900,101305,88078,106903,85738,152003,102810,107439,123804,100649,108352
"Part des résidences principales en 2021, en %","80,8","68,4","71,3","73,9","69,9","79,2","70,4","65,9","63,6",78,"74,2","81,8","84,2","86,3","80,6",81,"79,2","80,6","82,8","86,7","90,5"
"Part des résidences secondaires (y compris les logements occasionnels) en 2021, en %","9,7","21,5","16,4","15,9","18,8","14,8","23,6","25,3","22,9","13,9","9,4","7,2","8,6","5,9","9,1","9,7","11,8","8,6","6,8","4,1","2,9"
"Part des logements vacants en 2021, en %","9,5","10,1","12,3","10,2","11,2",6,6,"8,8","13,5","8,2","16,4",11,"7,3","7,8","10,4","9,3",9,"10,8","10,5","9,1","6,6"
"Part des ménages propriétaires de leur résidence principale en 2021, en %","33,4",32,"34,2","35,1","32,2","34,4","40,2","41,8","38,3","39,6","37,6","35,4","32,1","26,4","32,7","32,7","44,5","34,9","32,7","26,5","27,8"
"Source : Insee, RP2021 exploitation principale en géographie au 01/01/2024",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Revenus,Département : Paris (75),Commune : Paris 1er Arrondissement (75101),Commune : Paris 2e Arrondissement (75102),Commune : Paris 3e Arrondissement (75103),Commune : Paris 4e Arrondissement (75104),Commune : Paris 5e Arrondissement (75105),Commune : Paris 6e Arrondissement (75106),Commune : Paris 7e Arrondissement (75107),Commune : Paris 8e Arrondissement (75108),Commune : Paris 9e Arrondissement (75109),Commune : Paris 10e Arrondissement (75110),Commune : Paris 11e Arrondissement (75111),Commune : Paris 12e Arrondissement (75112),Commune : Paris 13e Arrondissement (75113),Commune : Paris 14e Arrondissement (75114),Commune : Paris 15e Arrondissement (75115),Commune : Paris 16e Arrondissement (75116),Commune : Paris 17e Arrondissement (75117),Commune : Paris 18e Arrondissement (75118),Commune : Paris 19e Arrondissement (75119),Commune : Paris 20e Arrondissement (75120)
Nombre de ménages fiscaux en 2021,1007247,8414,11241,17216,13769,24728,16896,23791,17615,28911,43393,75282,66882,81749,62489,111126,74142,76959,85427,78436,88781
"Part des ménages fiscaux imposés en 2021, en %","68,8",71,72,72,70,73,74,75,75,75,68,71,71,65,70,73,72,71,64,60,62
"Médiane du revenu disponible par unité de consommation en 2021, en euros",29730,35030,34050,34800,33040,35960,41750,45380,44100,37220,29470,30210,29940,25670,29460,32780,41550,33390,24910,22870,23570
"Taux de pauvreté en 2021, en %","15,6",12,14,13,14,11,11,9,10,11,17,15,14,18,14,13,12,14,21,22,21
"Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés. A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).",,,,,,,,,,,,,,,,,,,,,
"Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2024",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Emploi - Chômage au sens du recensement,Département : Paris (75),Commune : Paris 1er Arrondissement (75101),Commune : Paris 2e Arrondissement (75102),Commune : Paris 3e Arrondissement (75103),Commune : Paris 4e Arrondissement (75104),Commune : Paris 5e Arrondissement (75105),Commune : Paris 6e Arrondissement (75106),Commune : Paris 7e Arrondissement (75107),Commune : Paris 8e Arrondissement (75108),Commune : Paris 9e Arrondissement (75109),Commune : Paris 10e Arrondissement (75110),Commune : Paris 11e Arrondissement (75111),Commune : Paris 12e Arrondissement (75112),Commune : Paris 13e Arrondissement (75113),Commune : Paris 14e Arrondissement (75114),Commune : Paris 15e Arrondissement (75115),Commune : Paris 16e Arrondissement (75116),Commune : Paris 17e Arrondissement (75117),Commune : Paris 18e Arrondissement (75118),Commune : Paris 19e Arrondissement (75119),Commune : Paris 20e Arrondissement (75120)
Emploi total (salarié et non salarié) au lieu de travail en 2021,1890489,69217,66870,33668,40932,53604,46153,72103,186361,125103,85620,83870,125798,130835,83596,193673,121803,113929,87918,92473,76963
"dont part de l'emploi salarié au lieu de travail en 2021, en %","85,6","84,7",88,"80,5","86,9","86,4","84,1","86,9","86,7","87,7","85,2","78,8","88,9","90,2","86,4","86,8","81,5","83,2",82,87,"82,1"
"Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2015 et 2021, en %","0,8","2,5","1,9","1,1","-0,4","-0,2","0,5","0,2","1,5","1,4","0,2","0,1","0,7","0,7","-0,1","2,1","0,7",1,"-0,2","0,5","-0,1"
Taux d'activité des 15 à 64 ans en 2021,"78,3","81,5","84,2","82,2","78,5","71,3","69,4","74,2","77,8","83,4","81,7",83,"79,8","76,6","75,9","77,8","73,7","80,1","79,8","76,9","78,8"
Taux de chômage des 15 à 64 ans en 2021,"10,7","9,1","9,4","9,4","10,6","8,7","8,4","8,3","7,9","8,8","11,3","10,2","9,5","12,1","10,3","9,6","9,5","10,1","11,1","14,5","13,3"
"Sources : Insee, RP2015 et RP2021 exploitations principales en géographie au 01/01/2024",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Établissements,Département : Paris (75),Commune : Paris 1er Arrondissement (75101),Commune : Paris 2e Arrondissement (75102),Commune : Paris 3e Arrondissement (75103),Commune : Paris 4e Arrondissement (75104),Commune : Paris 5e Arrondissement (75105),Commune : Paris 6e Arrondissement (75106),Commune : Paris 7e Arrondissement (75107),Commune : Paris 8e Arrondissement (75108),Commune : Paris 9e Arrondissement (75109),Commune : Paris 10e Arrondissement (75110),Commune : Paris 11e Arrondissement (75111),Commune : Paris 12e Arrondissement (75112),Commune : Paris 13e Arrondissement (75113),Commune : Paris 14e Arrondissement (75114),Commune : Paris 15e Arrondissement (75115),Commune : Paris 16e Arrondissement (75116),Commune : Paris 17e Arrondissement (75117),Commune : Paris 18e Arrondissement (75118),Commune : Paris 19e Arrondissement (75119),Commune : Paris 20e Arrondissement (75120)
Nombre d'établissements actifs fin 2022,184212,7139,7100,4905,3767,4725,6184,7304,23437,11460,9336,11081,8475,6889,7172,12399,15203,14565,9044,6668,7359
"Part de l'agriculture, en %","0,1","0,1","0,1",0,0,0,0,"0,1","0,1","0,1","0,1",0,"0,1",0,0,0,"0,2",0,0,0,0
"Part de l'industrie, en %","2,6","2,7","4,2","4,8","2,8","2,2","2,5","1,8","1,8","2,8","3,3","3,2",3,"2,9","2,3","2,2","1,6","2,2","2,9","3,3","3,2"
"Part de la construction, en %","4,6","2,7","1,8","1,7","2,4","2,3","1,2","1,7",4,"2,5","5,7","5,6","7,1","5,3","5,6","4,4",3,"5,2","7,5","7,9","12,9"
"Part du commerce, transports et services divers, en %","85,9","90,4","90,3","88,5","89,1","86,6",90,"89,6","90,2",90,"85,3","84,3","80,2","80,5","82,6","84,9","88,2",86,"82,6","76,7","73,9"
"dont commerce et réparation automobile, en %","14,8","19,4","17,1","24,8","23,7","13,6","21,6","12,8","11,8","12,9",17,"14,6","14,7","13,6","13,5","13,6","11,6","12,9","19,5","14,2","14,3"
"Part de l'administration publique, enseignement, santé et action sociale, en %","6,8","4,1","3,6",5,"5,7","8,9","6,2","6,7","3,9","4,6","5,6","6,8","9,7","11,3","9,5","8,5","6,9","6,6",7,12,10
"Part des établissements de 1 à 9 salariés, en %","73,2","70,3","67,1","74,9","74,3","74,7","77,9","76,1","70,9","69,5","71,2","73,7","71,3","69,1","74,3","75,5","79,1","76,6","74,3","68,5","71,2"
"Part des établissements de 10 salariés ou plus, en %","16,4","19,8","23,9","15,7","16,7","14,8","14,5","12,5","18,7","21,6","17,2","14,5","18,8",21,"15,4","15,5","12,3","13,2",12,"18,1","13,8"
Champ : hors secteur de la défense et hors particuliers employeurs,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Flores (Fichier localisé des rémunérations et de l'emploi salarié) en géographie au 01/01/2024",,,,,,,,,,,,,,,,,,,,,
Avertissement : Les données sur les zones de moins de 1000 salariés ne sont pas renseignées.,,,,,,,,,,,,,,,,,,,,,
