"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2017-21","UHF 42","101","4","Kingsbridge - Riverdale","14,713","16.2"
"2017-21","UHF 42","102","4","Northeast Bronx","30,694","14.8"
"2017-21","UHF 42","103","4","Fordham - Bronx Pk","73,579","27.7"
"2017-21","UHF 42","104","4","Pelham - Throgs Neck","61,654","20.3"
"2017-21","UHF 42","105","4","Crotona -Tremont","73,064","33.6"
"2017-21","UHF 42","106","4","High Bridge - Morrisania","78,111","35.8"
"2017-21","UHF 42","107","4","Hunts Point - Mott Haven","51,580","36.3"
"2017-21","UHF 42","201","4","Greenpoint","18,006","17.1"
"2017-21","UHF 42","202","4","Downtown - Heights - Slope","36,762","13.7"
"2017-21","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","75,561","21.6"
"2017-21","UHF 42","204","4","East New York","49,585","24.3"
"2017-21","UHF 42","205","4","Sunset Park","24,717","20.8"
"2017-21","UHF 42","206","4","Borough Park","74,370","21.8"
"2017-21","UHF 42","207","4","East Flatbush - Flatbush","40,259","13.3"
"2017-21","UHF 42","208","4","Canarsie - Flatlands","24,465","11.6"
"2017-21","UHF 42","209","4","Bensonhurst - Bay Ridge","30,584","14.4"
"2017-21","UHF 42","210","4","Coney Island - Sheepshead Bay","56,090","18.7"
"2017-21","UHF 42","211","4","Williamsburg - Bushwick","62,519","27.1"
"2017-21","UHF 42","301","4","Washington Heights","49,315","18.4"
"2017-21","UHF 42","302","4","Central Harlem - Morningside Heights","42,017","23.9"
"2017-21","UHF 42","303","4","East Harlem","35,385","31.9"
"2017-21","UHF 42","304","4","Upper West Side","24,913","11.0"
"2017-21","UHF 42","305","4","Upper East Side","14,593","6.8"
"2017-21","UHF 42","306","4","Chelsea - Clinton","18,805","11.9"
"2017-21","UHF 42","307","4","Gramercy Park - Murray Hill","10,692","7.9"
"2017-21","UHF 42","308","4","Greenwich Village - SoHo","7,386","9.4"
"2017-21","UHF 42","309","4","Union Square - Lower East Side","39,735","22.0"
"2017-21","UHF 42","310","4","Lower Manhattan","5,951","9.6"
"2017-21","UHF 42","401","4","Long Island City - Astoria","23,169","11.0"
"2017-21","UHF 42","402","4","West Queens","57,605","12.5"
"2017-21","UHF 42","403","4","Flushing - Clearview","36,683","14.1"
"2017-21","UHF 42","404","4","Bayside - Little Neck","7,364","7.8"
"2017-21","UHF 42","405","4","Ridgewood - Forest Hills","24,754","9.1"
"2017-21","UHF 42","406","4","Fresh Meadows","11,542","11.5"
"2017-21","UHF 42","407","4","Southwest Queens","30,446","10.4"
"2017-21","UHF 42","408","4","Jamaica","38,955","12.0"
"2017-21","UHF 42","409","4","Southeast Queens","20,468","6.2"
"2017-21","UHF 42","410","4","Rockaways","23,622","18.0"
"2017-21","UHF 42","501","4","Port Richmond","12,098","17.0"
"2017-21","UHF 42","502","4","Stapleton - St. George","16,179","13.1"
"2017-21","UHF 42","503","4","Willowbrook","8,652","9.3"
"2017-21","UHF 42","504","4","South Beach - Tottenville","13,353","6.7"